REGION,DEPARTEMENT,COMMUNE,Lieu de vote,Bureau,Electeurs,Implantation
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),1,574,CLASSE CI B
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),2,573,CLASSE CI A
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),3,574,CLASSE CP B
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),4,574,CLASSE CP A
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),5,572,CLASSE CE1 B
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),6,573,CLASSE CE1 A
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),7,574,CLASSE CE2 B
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),8,574,CLASSE CE2 A
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),9,573,CM1A
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),10,574,SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),11,574,SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,1,580,CLASSE CI A
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,2,580,CLASSE CI B
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,3,580,CLASSE CI C
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,4,579,CLASSE CP A
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,5,580,CLASSE CP B
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,6,577,CLASSE CP C
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,7,580,CLASSE CM 2 A
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,8,579,CLASSE CM 2 B
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,9,578,CLASSE CM 2 C
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,10,578,CLASSE CE 1 C
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,11,579,CLASSE CE 1 B
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,12,579,CLASSE CE 1 A
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,13,580,CLASSE CE 2 B
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,14,580,CLASSE CE 2 C
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,15,580,CLASSE CE 2 A
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,16,578,CLASSE CM 1 C
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,17,579,CLASSE CM 1 B
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,18,578,CLASSE CM 1 A
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,19,580,ABRI PROVISOIRE
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,20,581,ECOLE NIANG SALLEDE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,21,579,ECOLE NIANG SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,22,581,ECOLE NIANG SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,23,581,ECOLE NIANG SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,24,580,ECOLE NIANG SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE CHEIKH M SAKHO O NIAYES 2,1,92,CLASSE CI A
DAKAR,DAKAR,BISCUITERIE,ECOLE CHEIKH M SAKHO O NIAYES 2,2,94,CLASSE CE 2 C
DAKAR,DAKAR,BISCUITERIE,ECOLE CHEIKH M SAKHO O NIAYES 2,3,95,CLASSE CP A
DAKAR,DAKAR,BISCUITERIE,ECOLE CHEIKH M SAKHO O NIAYES 2,4,94,CLASSE CM 2 C
DAKAR,DAKAR,BISCUITERIE,ECOLE CHEIKH M SAKHO O NIAYES 2,5,95,CLASSE CM 2 B
DAKAR,DAKAR,BISCUITERIE,ECOLE IMAM ABDOU NDIAYE (CERF VOLAN,1,493,CLASSE CE 2 A
DAKAR,DAKAR,BISCUITERIE,ECOLE IMAM ABDOU NDIAYE (CERF VOLAN,2,496,CLASSE CE 2 B
DAKAR,DAKAR,BISCUITERIE,ECOLE IMAM ABDOU NDIAYE (CERF VOLAN,3,494,CLASSE CM 1 A
DAKAR,DAKAR,BISCUITERIE,ECOLE IMAM ABDOU NDIAYE (CERF VOLAN,4,496,CLASSE CM 1 B
DAKAR,DAKAR,BISCUITERIE,ECOLE IMAM ABDOU NDIAYE (CERF VOLAN,5,495,CLASSE CM 2 A
DAKAR,DAKAR,BISCUITERIE,ECOLE IMAM ABDOU NDIAYE (CERF VOLAN,6,494,CLASSE CM 2 B
DAKAR,DAKAR,BISCUITERIE,ECOLE MASSIGA SENE (EX NGUELAW),1,548,CLASSE CM 1 A
DAKAR,DAKAR,BISCUITERIE,ECOLE MASSIGA SENE (EX NGUELAW),2,541,CLASSE CM 1 B
DAKAR,DAKAR,BISCUITERIE,ECOLE MASSIGA SENE (EX NGUELAW),3,538,CLASSE CE 2 A
DAKAR,DAKAR,BISCUITERIE,ECOLE MASSIGA SENE (EX NGUELAW),4,549,CLASSE CE 2 B
DAKAR,DAKAR,BISCUITERIE,ECOLE MASSIGA SENE (EX NGUELAW),5,545,CLASSE CP A
DAKAR,DAKAR,BISCUITERIE,ECOLE MASSIGA SENE (EX NGUELAW),6,544,CLASSE CP B
DAKAR,DAKAR,BISCUITERIE,ECOLE MASSIGA SENE (EX NGUELAW),7,542,CLASSE CE 1 B
DAKAR,DAKAR,BISCUITERIE,ECOLE MASSIGA SENE (EX NGUELAW),8,544,CLASSE CE 1 A
DAKAR,DAKAR,BISCUITERIE,ECOLE MASSIGA SENE (EX NGUELAW),9,545,SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE MASSIGA SENE (EX NGUELAW),10,552,SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE MASSIGA SENE (EX NGUELAW),11,468,SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE OUAGOU NIAYES 1,1,445,CLASSE CI A
DAKAR,DAKAR,BISCUITERIE,ECOLE OUAGOU NIAYES 1,2,446,CLASSE CI B
DAKAR,DAKAR,BISCUITERIE,ECOLE OUAGOU NIAYES 1,3,446,CLASSE CE 1 A
DAKAR,DAKAR,BISCUITERIE,ECOLE OUAGOU NIAYES 1,4,446,CLASSE CE 1 B
DAKAR,DAKAR,BISCUITERIE,ECOLE OUAGOU NIAYES 1,5,445,CLASSE CE 2 A
DAKAR,DAKAR,BISCUITERIE,ECOLE OUAGOU NIAYES 1,6,446,CLASSE CP A
DAKAR,DAKAR,BISCUITERIE,ECOLE OUAGOU NIAYES 1,7,445,CLASSE CP B
DAKAR,DAKAR,BISCUITERIE,ECOLE OUAGOU NIAYES 1,8,446,CLASSE CE 2 B
DAKAR,DAKAR,BISCUITERIE,ECOLE OUAGOU NIAYES 1,9,446,CLASSE CM 1 A
DAKAR,DAKAR,BISCUITERIE,ECOLE OUAGOU NIAYES 1,10,444,CLASSE CM 1 B
DAKAR,DAKAR,BISCUITERIE,ECOLE OUAGOU NIAYES 1,11,445,CLASSE CM 1 C
DAKAR,DAKAR,BISCUITERIE,ECOLE OUAGOU NIAYES 1,12,445,CLASSE CM 2 C
DAKAR,DAKAR,BISCUITERIE,ETAT CIVIL BOURGUIBA,1,381,GRANDE SALLE
DAKAR,DAKAR,BISCUITERIE,ETAT CIVIL BOURGUIBA,2,381,SALLE DES ARCHIVES
DAKAR,DAKAR,BISCUITERIE,ETAT CIVIL BOURGUIBA,3,381,SALLE DE SECTION MARIAGES
DAKAR,DAKAR,BISCUITERIE,ETAT CIVIL BOURGUIBA,4,382,SALLE DU DISPENSAIRE
DAKAR,DAKAR,CAMBERENE,ECOLE CAMBERENE 3,1,586,CLASSE CM2A
