REGION,DEPARTEMENT,COMMUNE,Lieu du vote,Bureau,Electeurs,Implantation
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),1,568,CLASSE CI B
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),2,564,CLASSE CI A
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),3,569,CLASSE CP B
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),4,567,CLASSE CP A
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),5,566,CLASSE CE1 B
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),6,564,CLASSE CE1 A
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),7,568,CLASSE CE2 B
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),8,574,CLASSE CE2 A
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),9,561,CM1A
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),10,558,SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),11,481,SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,1,575,CLASSE CI A
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,2,575,CLASSE CI B
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,3,575,CLASSE CI C
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,4,575,CLASSE CP A
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,5,575,CLASSE CP B
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,6,575,CLASSE CP C
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,7,574,CLASSE CM 2 A
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,8,575,CLASSE CM 2 B
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,9,575,CLASSE CM 2 C
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,10,574,CLASSE CE 1 C
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,11,575,CLASSE CE 1 B
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,12,575,CLASSE CE 1 A
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,13,575,CLASSE CE 2 B
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,14,578,CLASSE CE 2 C
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,15,575,CLASSE CE 2 A
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,16,575,CLASSE CM 1 C
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,17,575,CLASSE CM 1 B
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,18,574,CLASSE CM 1 A
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,19,575,ABRI PROVISOIRE
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,20,576,ECOLE NIANG SALLEDE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,21,575,ECOLE NIANG SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,22,576,ECOLE NIANG SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,23,574,ECOLE NIANG SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE BISCUITERIE,24,575,ECOLE NIANG SALLE DE CLASSE
DAKAR,DAKAR,BISCUITERIE,ECOLE CHEIKH M SAKHO O NIAYES 2,1,92,CLASSE CI A
